User_ID,Session_ID,Timestamp,Input_Type,Response_Time_Seconds,Character_Count_Input,Character_Count_Response,Tokens_Used,Sentiment_Score_Input,Sentiment_Score_Response,User_Rating,Category,Language,Progress
U0052,S000052,2023-02-24 22:51:00,voice,11.74,61,31,260,-1,0,3,business,French,2.04
U0053,S000053,2023-01-25 01:51:00,image,14.12,226,687,217,1,0,2,business,French,2.08
U0054,S000054,2023-01-04 22:55:00,text,13.47,307,620,149,-1,0,1,educational,English,2.12
U0055,S000055,2023-03-08 10:07:00,image,9.17,167,217,289,-1,-1,4,support,Spanish,2.16
U0056,S000056,2023-02-11 19:37:00,image,13.87,23,17,43,1,0,5,educational,French,2.2
U0057,S000057,2023-02-18 19:24:00,text,1.78,374,711,27,-1,0,4,business,Spanish,2.24
U0058,S000058,2023-01-12 08:41:00,image,3.34,268,696,66,0,1,4,educational,German,2.28
U0059,S000059,2023-02-04 10:55:00,voice,1.16,286,794,121,-1,0,4,creative,English,2.32
U0060,S000060,2023-01-08 04:08:00,image,5.22,117,538,14,-1,1,2,creative,French,2.36
U0061,S000061,2023-02-20 05:57:00,voice,6.14,492,611,191,-1,1,2,creative,German,2.4
U0062,S000062,2023-01-27 16:27:00,image,4.43,331,662,22,1,1,5,educational,French,2.44
U0063,S000063,2023-02-27 05:17:00,image,12.52,34,666,294,-1,-1,2,creative,Spanish,2.48
U0064,S000064,2023-02-26 07:10:00,text,5.67,139,175,268,-1,1,2,creative,French,2.52
U0065,S000065,2023-02-02 22:00:00,voice,4.57,71,858,99,0,0,2,casual,Chinese,2.56
U0066,S000066,2023-02-22 13:14:00,voice,8.37,69,505,113,-1,-1,2,casual,French,2.6
U0067,S000067,2023-01-18 12:03:00,text,2.54,296,599,195,-1,-1,1,educational,English,2.64
U0068,S000068,2023-03-06 03:09:00,text,12.13,29,438,259,-1,-1,5,support,English,2.68
U0069,S000069,2023-01-07 07:56:00,text,1.58,41,783,264,-1,-1,2,business,Chinese,2.72
U0070,S000070,2023-01-05 04:06:00,voice,14.81,5,172,85,0,-1,5,educational,Chinese,2.76
U0071,S000071,2023-03-02 04:33:00,voice,11.7,403,375,117,0,-1,3,educational,French,2.8
U0072,S000072,2023-01-21 17:51:00,voice,3.38,41,535,165,1,-1,1,educational,Spanish,2.84
U0073,S000073,2023-01-27 08:10:00,voice,0.58,145,248,91,-1,1,2,casual,English,2.88
U0074,S000074,2023-01-08 06:18:00,text,12.32,236,81,86,1,0,1,business,English,2.92
U0075,S000075,2023-01-22 04:32:00,voice,10.75,140,454,267,1,0,1,support,English,2.96
U0076,S000076,2023-01-10 04:38:00,text,11.07,393,664,136,-1,1,3,creative,English,3.0
U0077,S000077,2023-02-04 14:23:00,image,11.68,192,831,291,0,1,5,business,French,3.04
U0078,S000078,2023-01-26 07:14:00,image,1.57,132,518,97,0,-1,1,educational,English,3.08
U0079,S000079,2023-02-11 06:29:00,text,5.7,205,804,213,-1,-1,4,business,German,3.12
U0080,S000080,2023-02-27 20:40:00,voice,2.18,131,278,25,-1,1,3,support,French,3.16
U0081,S000081,2023-02-03 04:59:00,image,13.01,261,762,160,0,-1,4,casual,Spanish,3.2
U0082,S000082,2023-01-15 19:19:00,voice,9.54,168,424,263,-1,0,3,educational,Spanish,3.24
U0083,S000083,2023-02-03 16:40:00,image,5.3,39,254,197,-1,0,4,casual,English,3.28
U0084,S000084,2023-02-02 08:06:00,text,1.42,198,684,41,-1,-1,4,business,French,3.32
U0085,S000085,2023-01-20 01:40:00,image,5.01,195,69,280,0,-1,1,casual,English,3.36
U0086,S000086,2023-03-03 00:01:00,voice,5.22,108,15,14,1,-1,1,educational,German,3.4
U0087,S000087,2023-01-25 07:13:00,image,11.08,27,718,178,1,0,3,casual,English,3.44
U0088,S000088,2023-03-05 21:08:00,image,9.74,269,991,190,-1,-1,5,educational,English,3.48
U0089,S000089,2023-03-04 05:13:00,voice,13.36,294,579,187,0,1,1,business,Spanish,3.52
U0090,S000090,2023-02-28 23:39:00,image,7.35,434,826,152,-1,-1,1,casual,English,3.56
U0091,S000091,2023-01-07 11:58:00,image,2.23,466,416,257,0,1,2,educational,Chinese,3.6
U0092,S000092,2023-02-25 10:40:00,image,10.84,388,226,136,-1,-1,1,casual,Spanish,3.64
U0093,S000093,2023-02-27 19:07:00,text,11.53,264,939,272,0,-1,5,business,French,3.68
U0094,S000094,2023-01-16 13:51:00,voice,8.64,418,35,49,0,0,2,casual,French,3.72
U0095,S000095,2023-02-18 14:50:00,image,11.68,483,824,264,1,1,4,creative,German,3.76
U0096,S000096,2023-03-08 08:48:00,image,7.66,362,14,152,-1,1,4,casual,German,3.8
U0097,S000097,2023-01-23 06:47:00,image,8.08,79,995,249,1,1,2,support,Spanish,3.84
U0098,S000098,2023-01-15 20:57:00,voice,6.7,359,541,237,1,0,2,support,Chinese,3.88
U0099,S000099,2023-02-12 01:49:00,image,0.87,76,399,207,0,1,2,educational,Chinese,3.92
U0100,S000100,2023-02-04 12:55:00,voice,2.06,263,719,74,-1,0,3,casual,English,3.96
U0101,S000101,2023-01-25 13:42:00,text,0.96,402,580,20,0,-1,5,support,English,4.0
U0102,S000102,2023-02-28 06:06:00,voice,9.73,192,457,117,0,-1,5,casual,German,4.04
U0103,S000103,2023-03-04 15:18:00,voice,5.06,465,763,35,0,1,4,casual,German,4.08
U0104,S000104,2023-02-20 16:40:00,image,7.87,177,155,160,-1,-1,4,educational,Chinese,4.12
U0105,S000105,2023-01-20 23:45:00,text,13.66,484,397,230,-1,-1,4,casual,English,4.16
U0106,S000106,2023-03-04 07:33:00,image,4.11,294,794,246,0,1,1,support,French,4.2
U0107,S000107,2023-01-30 12:24:00,text,6.45,49,258,246,-1,-1,4,creative,English,4.24
U0108,S000108,2023-01-06 02:11:00,image,11.46,65,535,228,0,1,2,support,English,4.28
U0109,S000109,2023-01-21 20:21:00,text,3.82,87,471,160,-1,1,4,creative,English,4.32
U0110,S000110,2023-01-03 22:07:00,text,1.62,127,22,132,-1,-1,2,support,French,4.36
U0111,S000111,2023-01-29 17:07:00,text,4.7,362,912,153,1,-1,3,educational,German,4.4
U0112,S000112,2023-02-06 12:21:00,text,2.84,20,393,198,0,-1,1,creative,Chinese,4.44
U0113,S000113,2023-01-25 08:53:00,image,13.98,70,565,264,1,-1,1,creative,Chinese,4.48
U0114,S000114,2023-01-07 00:35:00,voice,12.22,428,896,77,1,-1,5,educational,German,4.52
U0115,S000115,2023-01-20 04:53:00,image,9.68,149,408,113,0,0,3,business,French,4.56
U0116,S000116,2023-02-21 15:01:00,image,13.14,379,28,168,0,-1,2,business,German,4.6
U0117,S000117,2023-03-07 08:18:00,image,12.15,166,584,99,-1,0,3,casual,Chinese,4.64
U0118,S000118,2023-01-29 15:25:00,image,3.21,238,500,265,0,1,1,educational,Spanish,4.68
U0119,S000119,2023-01-20 08:29:00,text,13.44,384,760,229,1,-1,2,educational,German,4.72
U0120,S000120,2023-03-01 15:49:00,text,8.32,148,428,18,1,-1,3,casual,German,4.76
U0121,S000121,2023-02-15 10:35:00,text,12.21,362,346,21,0,-1,1,business,Spanish,4.8
U0122,S000122,2023-02-06 00:16:00,text,13.49,192,428,253,1,1,2,support,Spanish,4.84
U0123,S000123,2023-02-28 12:19:00,voice,5.11,326,924,191,-1,0,2,creative,English,4.88
U0124,S000124,2023-02-11 18:22:00,voice,2.1,454,925,293,1,0,1,educational,English,4.92
U0125,S000125,2023-01-14 00:06:00,text,3.81,478,621,108,-1,-1,2,business,English,4.96
U0126,S000126,2023-01-25 02:38:00,text,6.69,17,684,206,1,-1,1,educational,English,5.0
U0127,S000127,2023-01-13 17:01:00,image,12.36,188,937,235,-1,-1,4,casual,Chinese,5.04
U0128,S000128,2023-01-23 10:45:00,voice,12.98,115,131,112,-1,-1,4,casual,Chinese,5.08
U0129,S000129,2023-03-09 19:27:00,voice,0.6,419,441,115,0,1,2,educational,Spanish,5.12
U0130,S000130,2023-02-21 02:19:00,image,7.91,294,53,67,-1,-1,2,creative,German,5.16
U0131,S000131,2023-02-19 01:24:00,image,6.55,299,881,87,0,1,1,casual,German,5.2
U0132,S000132,2023-01-24 21:58:00,voice,3.72,455,929,84,1,-1,2,support,French,5.24
U0133,S000133,2023-03-09 23:52:00,image,2.24,396,326,51,1,0,5,support,German,5.28
U0134,S000134,2023-02-23 05:02:00,voice,5.4,219,390,190,1,0,4,creative,German,5.32
U0135,S000135,2023-02-08 23:55:00,text,14.17,466,154,42,-1,-1,2,creative,English,5.36
U0136,S000136,2023-02-23 02:44:00,text,5.19,124,336,80,1,-1,2,support,Spanish,5.4
U0137,S000137,2023-02-06 08:30:00,voice,8.02,386,372,65,1,1,3,educational,French,5.44
U0138,S000138,2023-02-02 22:47:00,text,10.69,59,59,114,0,-1,2,business,French,5.48
U0139,S000139,2023-01-20 23:06:00,image,5.77,31,74,209,0,-1,5,support,English,5.52
U0140,S000140,2023-01-13 14:11:00,text,14.59,122,364,110,1,-1,4,business,English,5.56
U0141,S000141,2023-02-16 09:04:00,text,14.46,225,809,265,1,0,3,casual,English,5.6
U0142,S000142,2023-02-14 22:06:00,text,4.15,235,173,83,-1,1,1,business,German,5.64
U0143,S000143,2023-01-09 06:35:00,image,7.71,57,150,180,-1,0,1,educational,Chinese,5.68
U0144,S000144,2023-03-10 19:01:00,text,4.86,299,975,152,1,1,4,business,French,5.72
U0145,S000145,2023-01-05 06:55:00,voice,4.63,325,835,175,0,0,1,creative,Chinese,5.76
U0146,S000146,2023-01-10 23:31:00,image,1.03,405,137,270,1,-1,5,casual,French,5.8
U0147,S000147,2023-01-14 21:53:00,image,9.34,237,407,230,-1,0,2,casual,Spanish,5.84
U0148,S000148,2023-02-27 02:40:00,text,7.79,162,942,92,0,0,4,business,French,5.88
U0149,S000149,2023-01-15 13:29:00,text,1.25,441,889,191,0,1,3,support,Chinese,5.92
U0150,S000150,2023-03-03 22:32:00,image,4.54,273,472,19,-1,1,2,support,English,5.96
U0151,S000151,2023-02-08 10:13:00,voice,13.67,25,760,13,1,0,1,creative,English,6.0
U0152,S000152,2023-02-24 06:52:00,image,3.97,407,845,290,1,1,1,casual,German,6.04
U0153,S000153,2023-01-06 18:46:00,image,2.6,57,817,224,1,1,3,business,German,6.08
U0154,S000154,2023-02-05 00:32:00,image,7.6,279,196,107,-1,1,5,educational,Chinese,6.12
U0155,S000155,2023-02-04 17:39:00,image,14.79,317,729,110,0,1,3,creative,Chinese,6.16
U0156,S000156,2023-02-24 05:44:00,text,4.01,285,741,18,-1,1,4,support,German,6.2
U0157,S000157,2023-02-12 14:28:00,text,10.25,218,921,70,1,0,3,support,French,6.24
U0158,S000158,2023-02-18 03:52:00,image,11.54,35,199,155,-1,1,1,casual,French,6.28
U0159,S000159,2023-01-23 21:13:00,voice,3.95,341,397,72,0,-1,5,casual,Spanish,6.32
U0160,S000160,2023-02-20 08:32:00,voice,11.06,187,438,130,-1,0,5,casual,French,6.36
U0161,S000161,2023-01-02 01:04:00,text,5.83,27,867,235,1,0,3,casual,French,6.4
U0162,S000162,2023-03-03 22:06:00,voice,9.67,36,293,114,0,0,4,business,French,6.44
U0163,S000163,2023-03-07 14:26:00,text,9.69,450,873,269,-1,1,1,casual,German,6.48
U0164,S000164,2023-01-11 10:14:00,voice,8.27,78,246,264,-1,-1,2,educational,German,6.52
U0165,S000165,2023-03-04 01:13:00,image,1.81,14,203,216,0,1,5,creative,Chinese,6.56
U0166,S000166,2023-02-18 21:01:00,image,12.61,488,296,37,0,0,3,casual,French,6.6
U0167,S000167,2023-03-10 08:19:00,text,5.15,460,780,179,1,0,4,educational,German,6.64
U0168,S000168,2023-01-25 06:53:00,voice,3.2,58,767,85,0,0,4,creative,French,6.68
U0169,S000169,2023-02-28 08:12:00,voice,1.09,56,145,125,1,0,1,educational,French,6.72
U0170,S000170,2023-01-31 23:07:00,text,9.07,152,801,78,-1,1,5,support,Spanish,6.76
U0171,S000171,2023-01-11 03:41:00,image,10.32,164,792,243,1,-1,1,support,English,6.8
U0172,S000172,2023-01-27 17:09:00,voice,0.74,374,180,10,-1,-1,2,business,Chinese,6.84
U0173,S000173,2023-02-09 13:45:00,voice,7.93,18,168,176,0,0,2,business,French,6.88
U0174,S000174,2023-01-15 09:30:00,text,3.78,182,210,227,-1,-1,2,creative,French,6.92
U0175,S000175,2023-02-11 07:10:00,voice,9.86,416,496,282,0,0,4,business,French,6.96
U0176,S000176,2023-01-01 07:05:00,image,3.03,370,566,260,-1,0,5,support,Chinese,7.0
U0177,S000177,2023-03-07 17:26:00,text,10.52,57,971,183,-1,-1,1,support,Spanish,7.04
U0178,S000178,2023-03-07 12:09:00,image,6.11,412,785,179,-1,0,1,support,German,7.08
U0179,S000179,2023-01-24 23:22:00,text,14.08,339,592,255,-1,-1,2,support,English,7.12
U0180,S000180,2023-02-15 13:32:00,voice,2.49,26,513,99,1,0,5,creative,Spanish,7.16
U0181,S000181,2023-03-11 08:31:00,image,5.45,34,885,58,-1,-1,5,educational,English,7.2
U0182,S000182,2023-01-17 06:16:00,voice,2.15,195,380,159,1,0,3,support,Spanish,7.24
U0183,S000183,2023-02-16 05:02:00,image,13.91,264,112,141,0,-1,5,casual,Spanish,7.28
U0184,S000184,2023-01-10 16:27:00,image,13.22,209,134,68,0,0,5,business,Spanish,7.32
U0185,S000185,2023-02-26 21:59:00,voice,4.24,63,322,208,1,0,1,support,Chinese,7.36
U0186,S000186,2023-01-28 03:57:00,text,10.07,475,985,224,0,0,5,casual,Spanish,7.4
U0187,S000187,2023-02-28 03:48:00,image,12.35,268,807,58,0,-1,5,support,German,7.44
U0188,S000188,2023-02-16 05:00:00,text,8.55,470,467,241,-1,1,1,business,Chinese,7.48
U0189,S000189,2023-02-25 10:18:00,voice,8.18,16,239,256,-1,0,5,creative,German,7.52
U0190,S000190,2023-01-19 02:31:00,image,4.01,123,667,248,-1,0,1,casual,English,7.56
U0191,S000191,2023-01-14 21:52:00,text,1.85,419,891,177,1,-1,3,casual,Spanish,7.6
U0192,S000192,2023-02-04 00:49:00,voice,13.51,466,206,57,1,0,4,casual,German,7.64
U0193,S000193,2023-03-11 09:43:00,voice,13.56,294,894,60,0,0,1,business,Chinese,7.68
U0194,S000194,2023-01-15 16:54:00,image,9.68,342,742,107,-1,0,1,support,Chinese,7.72
U0195,S000195,2023-02-19 02:17:00,image,5.42,252,432,225,1,0,5,creative,German,7.76
U0196,S000196,2023-02-18 06:34:00,image,5.56,358,581,186,1,1,1,support,German,7.8
U0197,S000197,2023-01-01 01:14:00,text,11.03,131,619,89,-1,1,2,business,German,7.84
U0198,S000198,2023-02-24 12:24:00,image,13.51,79,180,194,1,0,2,creative,German,7.88
U0199,S000199,2023-01-30 12:07:00,text,13.36,365,391,36,-1,0,3,casual,Chinese,7.92
U0200,S000200,2023-02-14 11:22:00,image,11.81,208,182,204,0,0,1,educational,German,7.96
U0201,S000201,2023-01-02 18:32:00,image,9.81,53,672,223,0,1,5,creative,Spanish,8.0
U0202,S000202,2023-01-11 04:22:00,voice,1.72,83,462,123,0,1,5,educational,German,8.04
U0203,S000203,2023-02-03 00:56:00,voice,2.84,445,359,251,-1,-1,4,casual,German,8.08
U0204,S000204,2023-01-28 23:46:00,image,13.53,483,911,133,1,-1,3,educational,English,8.12
U0205,S000205,2023-01-22 19:05:00,image,9.29,245,961,85,0,0,5,creative,English,8.16
U0206,S000206,2023-01-06 06:32:00,image,0.63,353,643,205,0,0,4,business,German,8.2
U0207,S000207,2023-01-22 22:11:00,image,1.97,158,503,53,0,1,5,support,English,8.24
U0208,S000208,2023-02-21 15:24:00,text,10.12,278,629,195,1,0,4,educational,French,8.28
U0209,S000209,2023-01-08 04:02:00,voice,0.57,100,13,255,1,0,2,business,Chinese,8.32
U0210,S000210,2023-01-08 19:06:00,text,2.83,218,102,93,-1,1,2,business,Spanish,8.36
U0211,S000211,2023-03-08 14:52:00,image,8.46,298,928,216,0,1,5,educational,Spanish,8.4
U0212,S000212,2023-02-14 05:39:00,text,10.53,213,15,160,1,1,3,educational,English,8.44
U0213,S000213,2023-01-07 07:11:00,image,9.95,347,297,165,-1,1,1,business,English,8.48
U0214,S000214,2023-03-11 05:33:00,voice,3.75,92,627,25,0,-1,3,casual,Chinese,8.52
U0215,S000215,2023-02-18 11:42:00,voice,10.83,310,155,174,1,1,3,casual,Spanish,8.56
U0216,S000216,2023-01-12 10:43:00,image,3.94,268,792,154,1,1,1,educational,English,8.6
U0217,S000217,2023-01-12 16:28:00,image,5.22,429,433,46,-1,0,2,creative,Chinese,8.64
U0218,S000218,2023-03-02 01:14:00,voice,11.32,394,899,54,0,0,2,educational,Chinese,8.68
U0219,S000219,2023-02-13 06:16:00,text,9.92,329,617,215,0,0,1,casual,English,8.72
U0220,S000220,2023-02-20 01:03:00,text,12.81,432,466,71,1,-1,4,casual,English,8.76
U0221,S000221,2023-01-16 00:43:00,text,10.04,381,750,28,0,1,3,casual,French,8.8
U0222,S000222,2023-01-25 03:01:00,voice,8.74,324,211,16,-1,1,5,support,German,8.84
U0223,S000223,2023-02-18 00:43:00,text,1.86,161,221,258,1,-1,2,creative,English,8.88
U0224,S000224,2023-02-25 05:07:00,text,5.83,160,15,126,1,1,5,creative,Spanish,8.92
U0225,S000225,2023-02-08 12:21:00,image,4.35,143,633,77,-1,0,1,casual,Spanish,8.96
U0226,S000226,2023-01-20 06:40:00,image,4.04,125,385,43,1,-1,5,educational,Spanish,9.0
U0227,S000227,2023-02-19 02:06:00,voice,14.61,69,900,203,0,1,5,support,Spanish,9.04
U0228,S000228,2023-03-10 17:54:00,image,6.2,111,456,64,0,-1,3,creative,English,9.08
U0229,S000229,2023-03-08 10:33:00,text,13.43,151,844,275,1,-1,1,creative,Chinese,9.12
U0230,S000230,2023-03-04 19:02:00,image,9.65,141,115,51,-1,1,5,educational,Spanish,9.16
U0231,S000231,2023-01-19 07:25:00,image,12.02,415,660,240,-1,0,2,support,English,9.2
U0232,S000232,2023-03-06 21:27:00,image,7.79,166,820,19,0,1,1,educational,German,9.24
U0233,S000233,2023-01-29 08:57:00,voice,8.87,432,410,137,-1,1,2,casual,French,9.28
U0234,S000234,2023-02-06 07:36:00,text,7.64,456,105,188,1,0,4,casual,German,9.32
U0235,S000235,2023-03-03 03:19:00,image,3.33,104,397,202,1,1,5,support,German,9.36
U0236,S000236,2023-03-01 03:40:00,text,10.98,342,968,101,0,1,1,casual,Chinese,9.4
U0237,S000237,2023-02-03 23:44:00,text,4.57,403,461,240,0,1,2,educational,French,9.44
U0238,S000238,2023-02-09 21:02:00,text,0.85,311,858,87,0,-1,5,educational,French,9.48
U0239,S000239,2023-02-17 02:39:00,text,9.86,145,818,94,-1,-1,3,casual,Chinese,9.52
U0240,S000240,2023-02-11 02:17:00,text,3.07,87,988,39,1,-1,2,support,English,9.56
U0241,S000241,2023-01-12 00:20:00,text,14.14,181,910,222,1,1,2,business,English,9.6
U0242,S000242,2023-01-23 13:33:00,image,14.33,202,425,58,1,0,4,casual,German,9.64
U0243,S000243,2023-01-21 10:51:00,image,13.77,116,735,274,0,-1,3,casual,German,9.68
U0244,S000244,2023-01-06 19:52:00,text,5.87,60,513,154,1,0,4,casual,Chinese,9.72
U0245,S000245,2023-01-31 18:33:00,image,0.72,464,463,78,-1,1,3,educational,Chinese,9.76
U0246,S000246,2023-01-02 21:57:00,text,13.96,183,300,67,-1,-1,2,casual,English,9.8
U0247,S000247,2023-02-23 13:10:00,voice,6.71,425,543,194,1,1,4,business,English,9.84
U0248,S000248,2023-02-20 10:03:00,image,14.52,405,202,71,0,0,5,creative,German,9.88
U0249,S000249,2023-01-21 22:41:00,text,14.47,190,989,175,1,-1,3,creative,Chinese,9.92
U0250,S000250,2023-02-23 13:28:00,text,12.87,475,159,180,-1,-1,2,business,Chinese,9.96
U0251,S000251,2023-01-21 01:04:00,text,4.77,222,889,72,-1,-1,1,casual,English,10.0
U0252,S000252,2023-01-01 15:42:00,voice,6.08,417,768,156,-1,-1,3,business,Spanish,10.04
U0253,S000253,2023-01-07 11:05:00,voice,12.84,421,788,170,1,0,3,creative,French,10.08
U0254,S000254,2023-03-06 10:18:00,image,5.1,320,982,150,-1,-1,5,educational,French,10.12
U0255,S000255,2023-02-27 10:39:00,image,2.96,479,772,106,0,1,3,creative,German,10.16
U0256,S000256,2023-01-06 08:36:00,text,8.57,221,524,230,1,-1,3,support,English,10.2
U0257,S000257,2023-01-21 20:07:00,text,14.07,124,402,52,1,0,5,casual,German,10.24
U0258,S000258,2023-01-07 03:14:00,image,10.59,443,325,117,-1,-1,5,business,Spanish,10.28
U0259,S000259,2023-01-03 20:37:00,text,8.77,398,85,275,-1,0,4,business,English,10.32
U0260,S000260,2023-01-31 01:49:00,voice,1.91,179,608,104,0,0,2,casual,Chinese,10.36
U0261,S000261,2023-01-07 10:47:00,text,9.42,27,279,271,1,1,2,business,French,10.4
U0262,S000262,2023-02-16 19:11:00,text,14.86,217,234,80,-1,-1,4,support,French,10.44
U0263,S000263,2023-01-22 15:55:00,text,2.53,409,539,228,0,-1,2,support,German,10.48
U0264,S000264,2023-01-26 08:20:00,image,8.02,239,122,30,-1,-1,3,support,Spanish,10.52
U0265,S000265,2023-03-02 21:24:00,voice,13.22,17,260,101,1,1,4,educational,Chinese,10.56
U0266,S000266,2023-02-14 04:24:00,voice,11.24,105,242,136,-1,1,4,support,Spanish,10.6
U0267,S000267,2023-01-20 12:00:00,voice,10.61,421,850,89,1,0,2,support,French,10.64
U0268,S000268,2023-02-19 01:58:00,voice,10.69,28,800,247,-1,0,1,casual,English,10.68
U0269,S000269,2023-01-13 01:02:00,voice,5.71,368,723,191,1,0,2,business,Spanish,10.72
U0270,S000270,2023-03-07 20:11:00,voice,4.76,15,92,34,0,1,1,business,German,10.76
U0271,S000271,2023-02-21 23:27:00,text,12.24,277,134,165,1,1,4,casual,Spanish,10.8
U0272,S000272,2023-02-22 10:45:00,text,12.25,456,184,14,0,1,1,support,German,10.84
U0273,S000273,2023-02-13 00:33:00,image,13.07,435,78,129,1,0,3,educational,English,10.88
U0274,S000274,2023-01-23 02:50:00,image,13.74,285,56,286,0,1,5,casual,German,10.92
U0275,S000275,2023-02-13 01:13:00,text,7.91,98,893,27,-1,0,1,casual,French,10.96
U0276,S000276,2023-02-07 01:14:00,voice,7.77,205,265,207,1,0,5,business,Spanish,11.0
U0277,S000277,2023-01-18 07:57:00,image,12.08,25,736,66,-1,-1,3,creative,Chinese,11.04
